"country_name.x","country_code","year","sdg_overall","goal1","goal2","goal3","goal4","goal5","goal6","goal7","goal8","goal9","goal10","goal11","goal12","goal14","goal15","goal16","goal17","country_name.y","spi_comp","p1_use","p2_services","p3_products","p4_sources","p5_infra","country_name.x.x","sci_overall","sci_method","sci_periodicity","sci_source","country_name.y.y","regime_type","regime_type_amb","elect_dem","lib_dem","part_dem","delib_dem","egal_dem","freefair","accountability","vt_account","hz_account","diag_account","academ_free","freexp_altinfo","gdp","gdp_pc","population","stat_yb_cov","stat_yb_pub","census","stat_agency"
"Afghanistan","AFG",2019,46.171753968254,30.3085,39.651,36.4287857142857,42.9035,23.89,44.7332,35.741,46.4605714285714,11.2837142857143,NA,35.3,95.0735714285714,NA,65.2212,46.135,40.9006,"Afghanistan",51.9295833333333,70,59.9,68.30625,21.4416666666667,40,"Afghanistan",50,40,70,40,"Afghanistan",1,3,0.356,0.184,0.137,0.3,0.204,0.18,0.29,0.218,-0.095,0.626,0.549,0.693,6775.201,1.745,38041757,NA,NA,NA,NA
"Angola","AGO",2019,50.7814629742806,36.123,54.699,35.2605714285714,45.97875,46.59225,53.5642,44.75425,55.9034285714286,17.1754285714286,16.479,42.43225,93.3248571428571,67.566,65.5366,40.9908181818182,53.5518,"Angola",57.9525,80,57.3,68.5625,43.9,40,"Angola",48.8889,40,66.6667,40,"Angola",1,3,0.366,0.184,0.102,0.202,0.155,0.252,0.103,0.255,-0.301,0.236,0.431,0.633,16911.415,5.392,31825299,NA,NA,NA,NA
"Albania","ALB",2019,74.475860478737,98.336,57.963,83.159,94.9385,54.745,75.8542,84.2145,63.1221428571429,39.9798571428571,90.1505,87.8493333333333,80.1002857142857,49.3148,82.9116,66.1569090909091,67.282,"Albania",76.0429166666667,100,69.7666666666667,72.70625,62.7416666666667,75,"Albania",78.8889,70,76.6667,90,"Albania",2,5,0.517,0.432,0.314,0.265,0.375,0.507,0.831,0.752,0.902,0.856,0.85,0.705,3489.639,11.275,2854191,NA,NA,NA,NA
"United Arab Emirates","ARE",2019,68.6427775856497,99.6895,68.476625,87.3516153846154,97.83175,58.30975,57.9452,68.27975,58.924,81.897,100,69.78875,53.1344285714286,72.4835,52.17525,74.9075,40.2596,"United Arab Emirates",58.0025,90,36.8666666666667,42.2375,55.9083333333333,65,NA,NA,NA,NA,NA,"United Arab Emirates",0,0,0.1,0.092,0.029,0.075,0.14,0.499,-0.694,-0.041,-0.517,-0.9,0.143,0.071,66856.255,64.628,9770526,NA,NA,NA,NA
"Argentina","ARG",2019,73.5550706582633,96.0345,67.909625,82.4232142857143,97.1683333333333,77.81225,77.8778,73.02625,72.7822857142857,53.1488571428571,37.06,88.5885,79.3482857142857,60.8393333333333,61.0256,64.3417,70.378,"Argentina",69.4391666666667,90,79.4666666666667,79.5875,63.1416666666667,35,"Argentina",80,70,90,80,"Argentina",2,6,0.789,0.631,0.526,0.602,0.621,0.885,1.342,1.415,0.822,1.272,0.878,0.863,78294.101,16.528,44938712,NA,NA,NA,NA
"Armenia","ARM",2019,73.3483373511905,90.9865,55.81025,78.7026428571429,77.177,59.81475,65.446,74.46975,69.995,48.604,88.979,87.419,88.6167142857143,NA,61.105,74.8708571428571,61.9116,"Armenia",81.8966666666667,100,84.9666666666667,81.225,58.2916666666667,85,"Armenia",93.33336667,100,90.0001,90,"Armenia",2,7,0.8,0.631,0.565,0.669,0.681,0.921,1.386,1.457,0.572,1.399,0.839,0.871,3903.072,12.313,2957728,NA,NA,NA,NA
"Australia","AUS",2019,75.8879036605551,99.3495,56.658625,95.6907142857143,92.151,79.923,90.5518,71.511,82.7328571428571,91.8425714285714,77.9225,92.4965,49.1141428571429,67.5356666666667,63.0978,87.5748181818182,66.1772,"Australia",86.2416666666667,90,92.6666666666667,74.075,74.4666666666667,100,NA,NA,NA,NA,NA,"Australia",3,9,0.825,0.78,0.591,0.75,0.707,0.958,1.65,1.523,1.973,1.278,0.891,0.894,127644.165,48.067,25365745,NA,NA,NA,NA
"Austria","AUT",2019,83.4145556120962,99.4365,74.919,94.2427692307692,97.1926666666667,82.24825,91.9532,85.8105,77.9937142857143,96.0178571428571,94.6345,96.8663333333333,43.2517142857143,NA,70.2814,91.7558181818182,68.666,"Austria",86.7933333333334,100,91.3,74.55,73.1166666666667,95,NA,NA,NA,NA,NA,"Austria",3,9,0.862,0.792,0.631,0.725,0.769,0.942,1.618,1.377,1.67,1.627,0.971,0.941,44063.031,46.194,8879920,NA,NA,NA,NA
"Azerbaijan","AZE",2019,72.0188642857143,99.271,58.272,73.9677857142857,80.80775,52.66525,64.239,68.32875,69.3446666666667,38.9304285714286,97.5,82.46125,82.8457142857143,NA,65.9994,66.7475,70.383,"Azerbaijan",68.14125,80,64.6333333333333,60.98125,55.0916666666667,80,"Azerbaijan",76.66666667,80,70,80,"Azerbaijan",1,3,0.194,0.065,0.061,0.044,0.122,0.071,-0.933,-0.376,-1.492,-0.847,0.092,0.174,15070.419,14.2,10024283,NA,NA,NA,NA
"Burundi","BDI",2019,54.349028125,0,60.0688571428571,49.0373571428571,41.2435,56.2945,55.3174,17.03375,66.0433333333333,12.9242857142857,58.366,68.1653333333333,96.6277142857143,NA,81.3018,48.5522857142857,58.992,"Burundi",50.9133333333333,70,61.7,68.9,18.9666666666667,35,"Burundi",67.7778,50,93.3334,60,"Burundi",1,3,0.161,0.054,0.147,0.045,0.115,0.029,-0.958,-0.444,-0.781,-1.096,0.133,0.108,880.324,0.735,11530577,NA,NA,NA,NA
