"country_name.x","country_code","year","sdg_overall","goal1","goal2","goal3","goal4","goal5","goal6","goal7","goal8","goal9","goal10","goal11","goal12","goal14","goal15","goal16","goal17","country_name.y","spi_comp","p1_use","p2_services","p3_products","p4_sources","p5_infra","country_name.x.x","sci_overall","sci_method","sci_periodicity","sci_source","country_name.y.y","regime_type","regime_type_amb","elect_dem","lib_dem","part_dem","delib_dem","egal_dem","freefair","accountability","vt_account","hz_account","diag_account","academ_free","freexp_altinfo","gdp","gdp_pc","population","stat_yb_cov","stat_yb_pub","census","stat_agency"
"Spain","ESP",2000,73.5552420099508,99.3955,66.191,87.5606923076923,92.973,62.89825,84.4728,71.2795,80.1027142857143,56.0184285714286,83.204,96.974,57.4585714285714,42.5558333333333,58.849,79.3730909090909,55.5754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.891,0.816,0.632,0.796,0.816,0.955,1.746,1.567,1.246,1.775,0.952,0.957,127850.843,29.316,40567864,1,1,0,1
"Spain","ESP",2001,73.9439316071184,99.301,63.205375,88.3233846153846,92.97125,66.22325,84.7388,72.04825,81.9902857142857,57.032,83.204,96.974,57.7038571428571,42.8001666666667,60.181,79.3608181818182,55.4354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.891,0.817,0.63,0.796,0.816,0.955,1.746,1.57,1.25,1.777,0.953,0.957,132298.081,30.007,40850412,1,1,1,1
"Spain","ESP",2002,73.9573019602946,99.224,64.719375,88.7476923076923,92.9615,67.564,84.4144,71.11975,81.6218571428571,58.2087142857143,83.204,96.932,57.1697142857143,41.4361666666667,60.2622,79.3723636363636,55.5074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.891,0.817,0.628,0.796,0.816,0.955,1.737,1.57,1.249,1.774,0.953,0.957,137174.28,30.628,41431558,1,0,0,1
"Spain","ESP",2003,74.538010113416,99.1895,64.378,88.8454615384615,92.93725,68.397,83.9738,72.1925,81.2515714285714,61.9887142857143,86.4435,96.88975,56.5561428571429,43.6196666666667,60.8056,79.3651818181818,56.1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.876,0.799,0.614,0.78,0.8,0.955,1.732,1.552,1.249,1.776,0.953,0.957,141588.247,31.224,42187645,1,1,0,1
"Spain","ESP",2004,74.6602202988188,99.435,65.961375,89.6441538461538,92.94425,69.25175,82.9308,71.84025,80.9955714285714,63.4002857142857,84.331,96.693,56.599,44.9143333333333,61.2326,79.3819090909091,56.2848,"Spain",NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.874,0.805,0.609,0.787,0.799,0.953,1.748,1.552,1.406,1.78,0.953,0.957,146884.087,31.752,42921895,1,1,0,1
"Spain","ESP",2005,74.9942175706646,99.3535,61.1665,90.522,92.90625,73.9025,82.5352,71.491,82.0024285714286,65.5028571428571,85.5985,96.96025,56.6782857142857,45.3761666666667,62.8848,79.3357272727273,56.3594,"Spain",NA,40,NA,53.45625,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.876,0.808,0.638,0.792,0.799,0.952,1.754,1.557,1.406,1.777,0.953,0.957,153205.355,32.558,43653155,1,1,0,1
"Spain","ESP",2006,75.5851572780161,99.179,63.71475,91.0849230769231,92.888,74.87575,82.1498,72.407,82.2418571428571,67.2472857142857,84.0495,96.7635,56.6725714285714,48.9635,64.2218,79.2216363636364,56.5608,"Spain",NA,40,NA,54.25625,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.877,0.81,0.642,0.792,0.801,0.952,1.742,1.565,1.419,1.776,0.953,0.957,160039.834,33.424,44397319,1,1,0,1
"Spain","ESP",2007,75.8124449403538,99.425,65.82025,91.0899230769231,92.9335,75.5955,81.9696,72.65575,81.957,68.901,83.204,96.81425,55.974,50.2078333333333,64.4404,79.1540909090909,56.7728,"Spain",NA,40,NA,54.50625,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.876,0.808,0.639,0.791,0.8,0.952,1.744,1.555,1.398,1.774,0.953,0.957,166223.297,34.029,45226803,1,1,0,1
"Spain","ESP",2008,76.1953343749388,99.2715,65.907875,92.4044615384615,92.68075,76.967,82.0504,73.58575,80.297,70.0001428571428,79.9385,97.32975,57.4391428571429,51.4273333333333,64.7244,79.1685454545455,57.6848,"Spain",NA,40,NA,54.78125,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.885,0.816,0.647,0.801,0.811,0.965,1.804,1.653,1.421,1.771,0.953,0.957,167315.714,33.854,45954106,1,1,0,1
"Spain","ESP",2009,76.5836557236881,98.8415,63.42,90.9213076923077,92.507,77.9715,83.7314,75.06275,77.3665714285714,70.5597142857143,77.7025,97.195,60.1472857142857,53.9796666666667,64.9316,79.6738181818182,59.1302,"Spain",NA,40,NA,56.10625,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.887,0.818,0.651,0.803,0.813,0.968,1.799,1.655,1.413,1.783,0.953,0.957,164448.496,32.997,46362946,1,1,0,1
"Spain","ESP",2010,76.8988516037884,98.9885,64.071875,91.4506923076923,92.233,78.67775,83.909,76.379,76.1288571428571,73.4731428571429,76.03,97.64825,60.0812857142857,55.0648333333333,64.9924,79.9160909090909,58.9888,"Spain",NA,60,NA,56.7625,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.891,0.823,0.653,0.813,0.814,0.968,1.816,1.659,1.414,1.81,0.953,0.957,162579.437,32.422,46576897,1,1,0,1
