"","country_code","year","income_level"
"1","ABW",2000,"H"
"2","ABW",2001,"H"
"3","ABW",2002,"H"
"4","ABW",2003,"H"
"5","ABW",2004,"H"
"6","ABW",2005,"H"
"7","ABW",2006,"H"
"8","ABW",2007,"H"
"9","ABW",2008,"H"
"10","ABW",2009,"H"
"11","ABW",2010,"H"
"12","ABW",2011,"H"
"13","ABW",2012,"H"
"14","ABW",2013,"H"
"15","ABW",2014,"H"
"16","ABW",2015,"H"
"17","ABW",2016,"H"
"18","ABW",2017,"H"
"19","ABW",2018,"H"
"20","ABW",2019,"H"
"21","ABW",2020,"H"
"22","ABW",2021,"H"
"23","ABW",2022,"H"
"24","ABW",2023,"H"
"25","AFG",2000,"L"
"26","AFG",2001,"L"
"27","AFG",2002,"L"
"28","AFG",2003,"L"
"29","AFG",2004,"L"
"30","AFG",2005,"L"
"31","AFG",2006,"L"
"32","AFG",2007,"L"
"33","AFG",2008,"L"
"34","AFG",2009,"L"
"35","AFG",2010,"L"
"36","AFG",2011,"L"
"37","AFG",2012,"L"
"38","AFG",2013,"L"
"39","AFG",2014,"L"
"40","AFG",2015,"L"
"41","AFG",2016,"L"
"42","AFG",2017,"L"
"43","AFG",2018,"L"
"44","AFG",2019,"L"
"45","AFG",2020,"L"
"46","AFG",2021,"L"
"47","AFG",2022,"L"
"48","AFG",2023,"L"
"49","AGO",2000,"L"
"50","AGO",2001,"L"
"51","AGO",2002,"L"
"52","AGO",2003,"L"
"53","AGO",2004,"LM"
"54","AGO",2005,"LM"
"55","AGO",2006,"LM"
"56","AGO",2007,"LM"
"57","AGO",2008,"LM"
"58","AGO",2009,"LM"
"59","AGO",2010,"LM"
"60","AGO",2011,"UM"
"61","AGO",2012,"UM"
"62","AGO",2013,"UM"
"63","AGO",2014,"UM"
"64","AGO",2015,"UM"
"65","AGO",2016,"LM"
"66","AGO",2017,"LM"
"67","AGO",2018,"LM"
"68","AGO",2019,"LM"
"69","AGO",2020,"LM"
"70","AGO",2021,"LM"
"71","AGO",2022,"LM"
"72","AGO",2023,"LM"
"73","ALB",2000,"LM"
"74","ALB",2001,"LM"
"75","ALB",2002,"LM"
"76","ALB",2003,"LM"
"77","ALB",2004,"LM"
"78","ALB",2005,"LM"
"79","ALB",2006,"LM"
"80","ALB",2007,"LM"
"81","ALB",2008,"LM"
"82","ALB",2009,"UM"
"83","ALB",2010,"UM"
"84","ALB",2011,"LM"
"85","ALB",2012,"UM"
"86","ALB",2013,"UM"
"87","ALB",2014,"UM"
"88","ALB",2015,"UM"
"89","ALB",2016,"UM"
"90","ALB",2017,"UM"
"91","ALB",2018,"UM"
"92","ALB",2019,"UM"
"93","ALB",2020,"UM"
"94","ALB",2021,"UM"
"95","ALB",2022,"UM"
"96","ALB",2023,"UM"
"97","AND",2000,"H"
"98","AND",2001,"H"
"99","AND",2002,"H"
"100","AND",2003,"H"
"101","AND",2004,"H"
"102","AND",2005,"H"
