"","country_name","country_code","Year","IQ.SCI.OVRL","IQ.SCI.MTHD","IQ.SCI.PRDC","IQ.SCI.SRCE","Access to water [5.51.01.09.water]","Agricultural census [3.01.04.01.agcen]","Balance of payments manual in use [2.04.01.01.excncpt]","Child malnutrition [5.51.01.02.malnut]","Child mortality [5.51.01.03.mortal]","Consumer price index base year [2.01.03.01.prcpbase]","External debt reporting status [5.04.01.01.exdebt]","Gender equality [5.51.01.07.gender]","Government finance accounting [3.02.01.02.fscov]","Health survey [5.13.01.01.hlthsurv]","HIV/AIDS [5.51.01.05.hiv]","Immunization [5.51.01.04.immun]","Import and export price indexes [5.04.01.02.impexp]","Income poverty [5.51.01.01.poverty]","Industrial production index [5.01.01.01.indust]","Maternal health [5.51.01.06.matern]","National accounts base year [2.01.01.02.nabase]","National immunization coverage [5.13.01.01.who]","Per capita GDP growth [5.51.01.10.gdp]","Population census [3.11.01.01.popcen]","Poverty survey [5.14.01.01.povsurv]","Primary completion [5.51.01.08.primcomp]","Special Data Dissemination Standard [5.21.01.01.sdds]","UNESCO reporting [5.12.01.01.unesco]","Vital registration system coverage [3.11.01.03.popreg]"
"1","Afghanistan","AFG",2004,"24.44444444","0","53.33333","20","1","0","0","0.33333","1","0","0","0.33333","0","1","1","1","0","0","0","0.33333","0","0","0.33333","0","0","0","0","0","0"
"2","Afghanistan","AFG",2005,"31.11111111","20","53.33333","20","1","0","0","0.33333","1","0","0","0.33333","0","1","1","1","0","0","0","0.33333","1","1","0.33333","0","0","0","0","0","0"
"3","Afghanistan","AFG",2006,"32.22222222","20","56.66667","20","1","0","0","0.33333","1","0","0","0.66667","0","1","1","1","0","0","0","0.33333","1","1","0.33333","0","0","0","0","0","0"
"4","Afghanistan","AFG",2007,"34.44444444","20","63.33333","20","1","0","0","0.33333","1","0","0","0.66667","0","1","1","1","0","0","0","0.66667","1","1","0.33333","0","0","0.33333","0","0","0"
"5","Afghanistan","AFG",2008,"45.55555556","40","66.66667","30","1","0","0","0.66667","1","0","1","0.66667","1","1","1","1","0","0","0","0.66667","1","1","0.33333","0","0.5","0.33333","0","0","0"
"6","Afghanistan","AFG",2009,"46.66666667","30","70","40","1","0","0","0.66667","1","0","0","1","1","1","1","1","0","0","0","0.66667","1","1","0.33333","0","1","0.33333","0","0","0"
"7","Afghanistan","AFG",2010,"52.22222222","40","76.66667","40","1","0","0","0.66667","1","0","1","1","1","1","1","1","0","0","0","1","1","1","0.66667","0","1","0.33333","0","0","0"
"8","Afghanistan","AFG",2011,"51.11111111","40","73.33333","40","1","0","0","0.33333","1","0","1","1","1","1","1","1","0","0","0","1","1","1","0.66667","0","1","0.33333","0","0","0"
"9","Afghanistan","AFG",2012,"50","40","70","40","1","0","0","0.33333","1","0","1","1","1","1","1","1","0","0","0","1","1","0","0.66667","0","1","0","0","1","0"
"10","Afghanistan","AFG",2013,"53.33333333","50","70","40","1","0","1","0.33333","1","0","1","1","1","1","1","1","0","0","0","1","1","0","0.66667","0","1","0","0","1","0"
"11","Afghanistan","AFG",2014,"54.44444444","50","73.33333333","40","1","0","1","0.33333","1","0","1","1","1","1","1","1","0","0","0","1","1","0","1","0","1","0","0","1","0"
"12","Afghanistan","AFG",2015,"51.1111","40","73.3333","40","1","0","1","0.33333","1","0","1","1","1","1","1","1","0","0","0","1","0","0","1","0","1","0","0","1","0"
"13","Afghanistan","AFG",2016,"51.1111","40","73.3333","40","1","0","1","0.33333","1","0","1","1","1","1","1","1","0","0","0","1","0","0","1","0","1","0","0","1","0"
"14","Afghanistan","AFG",2017,"51.1111","40","73.3333","40","1","0","1","0.33333","1","0","1","1","1","1","1","1","0","0","0","1","0","0","1","0","1","0","0","1","0"
"15","Afghanistan","AFG",2018,"50","40","70","40","1","0","1","0.33333","1","0","1","0.66667","1","1","1","1","0","0","0","1","0","0","1","0","1","0","0","1","0"
"16","Afghanistan","AFG",2019,"50","40","70","40","1","0","1","0.33333","1","0","1","0.66667","1","1","1","1","0","0","0","1","0","0","1","0","1","0","0","1","0"
"17","Afghanistan","AFG",2020,"57.7778","50","83.3334","40","1","0","1","0.66667","1","0","1","1","1","1","1","1","0","0","0","1","1","0","1","0","1","0.66667","0","1","0"
"18","Albania","ALB",2004,"76.66666667","60","70","100","1","1","1","0.66667","1","1","1","0.66667","1","1","0","1","0","0.33333","0","1","0","1","1","1","1","0.33333","0","1","1"
"19","Albania","ALB",2005,"77.77777778","60","73.33333","100","1","1","1","0.66667","1","1","1","0.66667","1","1","0","1","0","0.33333","0","1","0","1","1","1","1","0.66667","0","1","1"
"20","Albania","ALB",2006,"81.11111111","70","73.33333","100","1","1","1","0.66667","1","1","1","0.33333","1","1","0","1","0","0.66667","0","1","1","1","1","1","1","0.66667","0","1","1"
"21","Albania","ALB",2007,"80","70","70","100","1","1","1","0.66667","1","1","1","0.33333","1","1","0","1","0","0.66667","0","1","1","1","1","1","1","0.33333","0","1","1"
"22","Albania","ALB",2008,"76.66666667","60","70","100","1","1","1","0.66667","1","1","1","0","1","1","0","1","0","1","0","1","1","1","1","1","1","0.33333","0","0","1"
"23","Albania","ALB",2009,"77.77777778","60","73.33333","100","1","1","1","1","1","1","1","0","1","1","0","1","0","1","0","1","1","1","1","1","1","0.33333","0","0","1"
"24","Albania","ALB",2010,"70","60","70","80","1","0","1","1","1","1","1","0","1","1","0","1","0","1","0","1","1","1","1","1","1","0","0","0","1"
"25","Albania","ALB",2011,"70","60","70","80","1","0","1","1","1","1","1","0","1","1","0","1","0","1","0","1","1","1","1","1","1","0","0","0","1"
"26","Albania","ALB",2012,"73.33333333","70","70","80","1","0","1","1","1","1","1","0","1","1","0","1","0","1","0","1","1","1","1","1","1","0","0","1","1"
"27","Albania","ALB",2013,"68.88888889","60","66.66666667","80","1","0","1","0.66667","1","1","1","0","0","1","0","1","0","1","0","1","1","1","1","1","1","0","0","1","1"
"28","Albania","ALB",2014,"75.55555556","50","76.66666667","100","1","1","1","0.66667","1","0","1","0","0","1","1","1","0","1","0","1","1","1","1","1","1","0","0","1","1"
"29","Albania","ALB",2015,"72.22223333","50","66.6667","100","1","1","1","0.66667","1","0","1","0","0","1","0","1","0","1","0","1","1","1","1","1","1","0","0","1","1"
"30","Albania","ALB",2016,"82.22223333","60","86.6667","100","1","1","1","0.66667","1","0","1","1","1","1","0","1","0","1","0","1","1","1","1","1","1","1","0","1","1"
"31","Albania","ALB",2017,"88.8889","70","96.6667","100","1","1","1","0.66667","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","0","1","1"
"32","Albania","ALB",2018,"82.22223333","80","86.6667","80","1","1","1","0.66667","1","1","1","1","1","0","0","1","0","1","1","1","1","1","1","1","1","1","0","1","1"
"33","Albania","ALB",2019,"78.8889","70","76.6667","90","1","1","1","0.33333","1","1","1","1","0","0.5","0","1","0","0.66667","1","0.66667","1","1","1","1","1","1","0","1","1"
"34","Albania","ALB",2020,"87.7778","80","93.3334","90","1","1","1","0.66667","1","1","1","1","1","0.5","1","1","0","1","1","0.66667","1","1","1","1","1","1","0","1","1"
"35","Algeria","DZA",2004,"54.44444444","30","73.33333","60","1","1","1","1","1","0","1","0.66667","0","0.5","0","1","0","0.33333","0","0.66667","0","0","1","1","0.5","0.66667","0","1","0"
"36","Algeria","DZA",2005,"63.33333333","50","80","60","1","1","1","1","1","0","1","1","0","0.5","0","1","0","0.33333","1","0.66667","0","1","1","1","0.5","1","0","1","0"
"37","Algeria","DZA",2006,"63.33333333","50","80","60","1","1","1","1","1","0","1","1","0","0.5","0","1","0","0.33333","1","0.66667","0","1","1","1","0.5","1","0","1","0"
"38","Algeria","DZA",2007,"60","50","80","50","1","1","1","1","1","0","1","1","0","0.5","0","1","0","0.33333","1","0.66667","0","1","1","1","0","1","0","1","0"
"39","Algeria","DZA",2008,"58.88888889","50","76.66667","50","1","1","1","1","1","0","1","1","0","0.5","0","1","0","0.33333","1","0.66667","0","1","1","1","0","0.66667","0","1","0"
"40","Algeria","DZA",2009,"57.77777778","50","73.33333","50","1","1","1","1","1","0","1","1","0","0.5","0","1","0","0","1","0.66667","0","1","1","1","0","0.66667","0","1","0"
"41","Algeria","DZA",2010,"58.88888889","50","76.66667","50","1","1","1","1","1","0","1","1","0","0.5","0","1","0","0","1","1","0","1","1","1","0","0.66667","0","1","0"
"42","Algeria","DZA",2011,"62.22222222","60","76.66667","50","1","1","1","1","1","1","1","1","0","0.5","0","1","0","0","1","1","0","1","1","1","0","0.66667","0","1","0"
"43","Algeria","DZA",2012,"58.88888889","60","76.66667","40","1","1","1","1","1","1","1","1","0","0","0","1","0","0","1","1","0","1","1","1","0","0.66667","0","1","0"
